page_id,page_name,entry,route,implementation_status,production_dependency
P01,首页,主导航,/,done,真实推荐/库存接入后替换演示数据
P02,型号目录,全部商品/分类,/products,done,搜索索引与真实类目
P03,搜索结果,顶部型号搜索,/search,done,型号SKU旧型号客户料号索引
P04,型号详情,型号卡片,/product/:id,done,真实SKU价格库存图片兼容关系
P05,采购车,顶部采购车,/cart,done,登录态与服务端购物车
P06,结算下单,采购车/立即下单,/checkout,done,订单价格库存税务校验
P07,下单成功,订单提交,/order-success/:id,done,真实订单回执
P08,我的订单,账户/成功页,/orders,done,订单服务与权限
P09,固定送货单,订单/卖家中心,/delivery/:id,done,服务端快照序号Excel导出
P10,卖家订单,卖家中心,/seller/orders,done,卖家RBAC与审核记录
P11,卖家送货单,卖家中心,/seller/delivery,done,打印/导出服务
P12,卖家商品管理,卖家中心,/seller/products,done,商品PIM与审核流
P13,卖家客户,卖家中心,/seller/customers,done,客户权限与授信数据
P14,卖家统计,卖家中心,/seller/stats,done,真实订单统计
P15,卖家公告,卖家中心,/seller/announcement,done,后台配置与生效版本
P16,企业账户,账户入口,/account,done,登录与企业资料服务
P17,工具选型,首页/账户,/tool-selector,done,规则库与技术审核
P18,批量下单,首页/账户,/batch-order,done,Excel导入和SKU校验服务
P19,采购分析,账户,/purchase-analysis,done,真实订单数据
P20,客服支持,页脚,/support,done,真实联系方式/工单服务
P21,关于商城,页脚,/about,done,企业资料确认
P22,历史询价兼容跳转,旧链接,/quote,done,永久重定向到结算；不再创建询价单
P23,404,未知路由,*,done,none
