source,control,target_or_state,test_status,production_rule
首页,型号搜索,型号目录搜索结果,passed,搜索型号SKU旧型号客户料号和关键尺寸
首页,主夹/背夹类目,型号目录过滤,passed,一级类目必须独立
目录,类目/材质/排序筛选,型号家族结果刷新,passed,服务端筛选与真实字段
目录,型号卡片,型号详情,passed,卡片展示型号家族而非独立尺寸SKU
详情,规格矩阵,精确SKU价格库存MOQ更新,passed,库存价格以服务端为准
详情,加入采购车,采购车状态,passed,服务端购物车及MOQ校验
采购车,数量增减/删除,汇总更新,passed,重新校验库存/价格
采购车,去结算,结算页,passed,要求登录或匿名企业资料策略
结算,必填字段与税务/结算/物流选择,订单预览,passed,服务端校验/税务规则/月结审批
结算,提交订单,订单快照与成功页,passed,幂等键、库存锁定、服务端计算发货日
订单成功,查看送货单,固定送货单,passed,送货单快照不可变
送货单,打印/ExcelCSV导出,浏览器打印/文件下载,passed,生产改为服务端XLSX/PDF导出
订单,查看状态/送货单,订单与送货单详情,passed,权限仅限所属企业
卖家订单,接单/拒单/状态更新,订单状态变化,passed,角色权限、必填拒单原因、审计日志
卖家送货单,查看/打印,固定送货单,passed,实体盖章与人工发货
选型,加工条件,推荐型号列表,passed,规则来源/技术审核/免责声明
批量下单,粘贴型号SKU数量,批量匹配结果,passed,Excel导入、逐行错误、库存校验
公告,18:30规则提示,用户确认关闭,passed,后台生效版本和仓库日历
历史询价URL,/quote,结算页重定向,passed,不得再创建询价单
